Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
1,0,0,0,0,0.7476716339933995,-1.1061470896301404,-0.026542762163008344,360.0,1.0,1,False,False,True
1,1,1,0,0,0.32127034766607154,0.7625796925830042,-0.026542762163008344,360.0,1.0,0,True,False,False
1,1,0,0,1,-0.5753566590954953,-1.1061470896301404,-1.3364922870117082,360.0,1.0,1,False,False,True
1,1,0,1,0,-0.9471746338945212,0.9091350710984659,-0.1566545996781148,360.0,1.0,1,False,False,True
1,0,0,0,0,0.7889193653108696,-1.1061470896301404,0.16948532721015044,360.0,1.0,1,False,False,True
1,1,2,0,1,0.619842771968729,1.1047199358252722,1.4945837729176483,360.0,1.0,1,False,False,True
1,1,0,1,0,-1.2187293256551819,0.7642885292392756,-0.623123434518166,360.0,1.0,1,False,False,True
1,1,3,0,0,-0.5470571928021801,0.9291699399704917,0.4017520820505373,360.0,0.0,0,False,True,False
1,1,2,0,0,0.059530010119335654,0.7664127916682215,0.5276778545094367,360.0,1.0,1,False,False,True
1,1,1,0,0,1.781746348317765,1.1655532173641163,2.0668817816745264,360.0,1.0,0,False,True,False
1,1,2,0,0,-0.42450423884225064,0.5211056213862527,-1.2223796708769639,360.0,1.0,1,False,False,True
1,1,2,0,0,-1.032598923109933,0.8272676431829628,-0.34948137890271225,360.0,1.0,1,False,False,True
1,1,2,0,0,-0.5185144631847336,1.1655532173641163,0.8881756657509371,360.0,1.0,1,False,False,True
1,0,0,0,0,-1.8204694548562965,0.9714260806616374,-0.2596776929963666,360.0,1.0,0,True,False,False
1,1,2,0,0,-1.8204694548562965,0.6577441929336648,-3.8504493712533137,120.0,1.0,1,False,False,True
1,0,0,0,0,0.46236190285250395,-1.1061470896301404,-0.07441909125103018,360.0,1.0,1,False,False,True
1,0,1,1,0,-0.16542495981639016,-1.1061470896301404,-0.5213057684386682,240.0,0.0,1,False,False,True
0,0,0,0,0,-0.2177763558901637,-1.1061470896301404,-1.062162813583955,360.0,0.0,0,False,False,True
1,1,0,1,0,0.4393268349843355,-1.1061470896301404,0.05096622243405754,360.0,1.0,0,True,False,False
1,1,0,0,0,-0.9302071567134836,1.0423478446236374,-0.24216009777289674,360.0,1.0,1,False,False,True
1,1,0,1,0,1.155365179555395,-1.1061470896301404,-0.4432245208163908,360.0,0.0,0,False,False,True
1,1,1,0,0,0.776798583289525,1.1655532173641163,1.8466867039466643,360.0,1.0,1,False,False,True
1,1,0,1,0,-0.9302071567134836,0.8396750091472093,-0.22478442082630948,360.0,0.0,0,False,True,False
1,1,2,1,0,-0.31075393947434127,0.8407037304234645,-0.29514837901166135,360.0,0.0,0,True,False,False
1,1,1,0,0,-0.0950029436291666,0.9813748506213877,0.3090874023896435,360.0,0.0,0,False,True,False
1,1,0,0,1,1.4466080396150993,-1.1061470896301404,0.7925793453661805,360.0,1.0,1,False,True,False
1,1,0,0,0,-0.7437306730862737,0.8939980968518014,-0.1233825892910118,360.0,1.0,1,False,True,False
1,1,2,1,0,0.16592070847223284,0.6440962766003469,-0.33121660493748994,360.0,1.0,1,False,False,True
1,0,0,1,0,-1.8204694548562965,-1.1061470896301404,-2.539505398495434,360.0,1.0,0,False,False,True
0,0,2,0,0,-0.07641725187493834,0.8680363222224671,-0.1566545996781148,360.0,1.0,1,False,True,False
1,1,1,0,0,0.13777987792923466,1.0293259203513199,0.898547854680316,360.0,0.0,0,False,False,True
1,0,0,0,0,-0.4483631262245708,-1.1061470896301404,-1.1142113023038742,360.0,1.0,0,False,False,True
1,0,1,0,1,0.3649766670202938,-1.1061470896301404,-0.4052316779493256,360.0,1.0,0,True,False,False
1,1,0,0,0,-0.22399428273807162,0.79505885385807,-0.2596776929963666,360.0,1.0,1,False,True,False
1,0,3,0,0,1.7534469122403273,0.9899317569650337,1.8804236066114204,360.0,1.0,0,True,False,False
1,1,0,0,0,-1.288339912051158,0.8654920596036384,-0.026542762163008344,360.0,1.0,1,False,False,True
1,1,0,0,0,-1.8204694548562965,0.722192359958893,-0.5213057684386682,360.0,0.0,0,False,False,True
0,1,0,0,0,-0.12366124667910976,0.7519248791043817,0.2123137025269052,360.0,1.0,1,False,True,False
1,0,0,0,0,0.13777987792923466,1.1655532173641163,0.7152673186936845,360.0,1.0,1,False,False,True
1,0,0,1,0,-0.07753635277174795,0.7952538263240159,-0.33121660493748994,360.0,1.0,1,False,True,False
1,0,0,0,0,-0.16303780331581474,-1.1061470896301404,-0.961801293404527,360.0,1.0,0,False,False,True
1,0,0,0,0,-1.8204694548562965,0.6928017848779308,-1.9865183104180713,360.0,1.0,1,False,False,True
1,1,0,0,0,-1.1416182240182098,-1.1061470896301404,-1.0880247577811024,360.0,0.0,1,False,False,True
1,1,0,0,0,0.02632622618335296,0.9060163056525322,0.06614029721855812,360.0,1.0,1,False,True,False
1,1,0,1,1,0.36615706657861274,-1.1061470896301404,-0.6023651852988756,360.0,1.0,1,False,False,True
0,0,0,0,0,-0.281236485521758,-1.1061470896301404,-0.7744306910994281,360.0,1.0,1,False,False,True
1,1,1,0,0,0.6903971895814708,-1.1061470896301404,-2.1111582002098124,360.0,1.0,1,False,False,True
